category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Beauty & Personal Care,L1,21%,2114,0.00%,$1.15k,11.24%,23.63%,(9.33%),(80.96%),(9.71%),22%,2792,-19.67%,$7.59k,10.53%,24.12%,(7.79%),(82.01%),(10.2%),23%,3876,-21.19%,$27.41k,10.25%,24.38%,(6.97%),(81.9%),(11%),22%,6625,-3.85%,$49.96k,8.20%,21.88%,(6.69%),(75.17%),(17.13%),22%,9754,15.90%,$63.21k,8.32%,20.80%,(6.58%),(73.42%),(19.2%)
Womenswear & Underwear,L1,15%,1814,0.00%,$945.99,18.55%,31.40%,(7.75%),(81.33%),(10.92%),14%,2417,-17.13%,$5.81k,13.99%,28.98%,(8.31%),(79.72%),(11.97%),14%,3196,-15.07%,$21.11k,15.40%,28.64%,(8.49%),(78.58%),(12.87%),14%,4596,-3.16%,$47.19k,13.86%,27.86%,(7.83%),(71.56%),(20.12%),13%,7013,45.20%,$52.23k,11.28%,25.12%,(8.67%),(65.95%),(25.03%)
Health,L1,10%,298,0.00%,$4.15k,27.80%,54.01%,(5.85%),(90.26%),(3.89%),9%,402,-9.92%,$21.47k,24.12%,52.04%,(5.62%),(89.14%),(5.25%),10%,575,-21.44%,$78.72k,24.04%,53.39%,(5.19%),(88.55%),(5.9%),9%,1014,-7.42%,$137.05k,26.40%,52.99%,(4.55%),(82.18%),(10.96%),10%,1692,8.13%,$158.09k,32.62%,57.10%,(4.83%),(82.3%),(11.2%)
Food Supplement,L2,93%,222,0.00%,$5.18k,29.71%,56.99%,(5.29%),(91.38%),(3.32%),91%,306,-8.60%,$25.64k,26.39%,56.65%,(5.2%),(90.22%),(4.58%),91%,433,-22.46%,$95.62k,26.16%,57.65%,(4.74%),(89.41%),(5.5%),92%,760,-8.47%,$168.08k,28.50%,57.05%,(4.25%),(82.9%),(10.46%),93%,1307,6.22%,$189.76k,34.77%,60.93%,(4.64%),(83.42%),(10.21%)
Makeup & Perfume,L2,31%,878,0.00%,$844.09,14.63%,31.59%,(8.32%),(80.77%),(10.92%),32%,1158,-26.64%,$5.87k,15.33%,33.88%,(10.09%),(78.03%),(11.88%),33%,1587,-29.65%,$21.95k,18.27%,35.37%,(7.51%),(77.79%),(14.57%),34%,2832,-7.44%,$39.19k,17.85%,34.22%,(7.15%),(73.77%),(18.12%),35%,4545,7.70%,$47.10k,17.87%,33.24%,(7.59%),(71.56%),(20.18%)
Sports & Outdoor,L1,7%,1277,0.00%,$650.80,18.62%,39.81%,(15.39%),(73.05%),(11.56%),6%,1829,-9.01%,$3.42k,18.17%,38.89%,(13.54%),(73.68%),(12.78%),7%,2758,-21.91%,$11.35k,16.43%,37.37%,(15.26%),(71.79%),(12.89%),7%,4511,-16.53%,$23.83k,15.43%,33.75%,(10.86%),(69.19%),(19.11%),7%,6188,26.33%,$31.12k,17.90%,33.38%,(8.83%),(69.25%),(21.23%)
Phones & Electronics,L1,6%,1116,0.00%,$600.81,15.99%,32.16%,(7.48%),(83.32%),(9.2%),5%,1536,-13.41%,$3.23k,12.67%,30.29%,(6.72%),(81.89%),(11.39%),5%,2239,-29.74%,$11.43k,14.32%,29.80%,(6.54%),(81.85%),(11.5%),6%,3677,-16.09%,$25.83k,10.57%,26.47%,(5.06%),(77.46%),(16.25%),7%,5230,9.35%,$34.76k,12.50%,27.34%,(4.09%),(76.8%),(17.98%)
Women's Tops,L2,40%,1121,0.00%,$606.64,18.08%,33.32%,(5.86%),(80.92%),(13.22%),40%,1551,-18.41%,$3.58k,18.53%,33.58%,(6.23%),(80.79%),(12.98%),38%,2099,-11.84%,$12.16k,16.17%,32.14%,(6.92%),(77.85%),(15.16%),36%,3085,0.62%,$25.63k,16.64%,29.92%,(7.35%),(70%),(22.27%),39%,5023,22.73%,$28.57k,17.12%,28.17%,(8.66%),(64.53%),(26.51%)
Home Supplies,L1,5%,1194,0.00%,$492.66,39.58%,55.73%,(7.66%),(82.46%),(9.89%),5%,1678,-14.21%,$3.02k,43.27%,56.51%,(6.97%),(82.39%),(10.64%),5%,2357,-39.29%,$10.60k,47.66%,56.11%,(6.44%),(73.28%),(20.13%),4%,3831,31.21%,$16.27k,35.66%,45.21%,(6.28%),(70.93%),(22.1%),4%,6819,41.34%,$15.61k,25.69%,35.95%,(6.63%),(67.22%),(25.61%)
Skincare,L2,24%,502,0.00%,$1.14k,29.18%,54.03%,(6.78%),(84.71%),(8.51%),23%,685,-13.03%,$7.03k,32.28%,56.35%,(4.91%),(86.69%),(8.4%),22%,962,-20.17%,$24.78k,31.28%,55.98%,(4.54%),(86.55%),(8.6%),21%,1786,-2.28%,$39.75k,26.81%,51.26%,(4.68%),(78.88%),(15.17%),20%,2941,29.72%,$42.75k,24.28%,44.23%,(4.92%),(75.31%),(18.77%)
