Live stream name,Number of products,Top 3 categories,Live stream time,Stream duration,Creator name,Revenue,Revenue per minute,Online viewers,Online viewers per minute,Views,Views per minute,Items sold,Items sold per minute,Average unit price
Manifest ur best summer w/ Mish!,14,Beauty & Personal Care,08/08 15:30 ~ 08/09 00:28,8h 58m,themichellephan,$198.34k,N/A,298.23k,N/A,298.23k,N/A,885,N/A,$224.11
⚠ FLASH SALE ELECTRIC SPIN BRUSH,1,Household Appliances,08/31 14:09 ~ 08/31 17:28,3h 18m,andi.review0,$141.80k,N/A,159.29k,N/A,159.29k,N/A,547,N/A,$259.24
STORMI’s BDAY!!,7,Beauty & Personal Care,08/03 13:00 ~ 08/03 14:36,1h 35m,iamstormisteele,$138.57k,N/A,181.76k,N/A,181.76k,N/A,7.24k,N/A,$19.13
8HR LIVE SALE 🥳🫶🏼💗,28,"Beauty & Personal Care, Household Appliances",08/31 14:59 ~ 08/31 23:13,8h 14m,itatilopez_,$136.33k,N/A,1.59m,N/A,1.59m,N/A,2.59k,N/A,$52.60
Sarah’s Summer Shopping Event💓,43,"Beauty & Personal Care, Luggage & Bags",08/23 15:29 ~ 08/24 02:03,10h 34m,sarahpotempahair,$125.32k,N/A,217.67k,N/A,217.67k,N/A,2.41k,N/A,$51.98
Ekko New Arrival Day,14,"Health, Sports & Outdoor, Shoes",08/07 11:59 ~ 08/07 17:09,5h 9m,entty10,$124.70k,N/A,211.19k,N/A,211.19k,N/A,4.43k,N/A,$28.16
Stormi’s Vibe Session,18,"Beauty & Personal Care, Kitchenware",08/24 17:00 ~ 08/24 20:01,3h,iamstormisteele,$116.81k,N/A,338.54k,N/A,338.54k,N/A,6.43k,N/A,$18.17
BKBeauty 8hrs of DEALS ✨,29,Beauty & Personal Care,08/28 15:29 ~ 08/29 01:48,10h 18m,thebkbeauty,$114.24k,N/A,737.14k,N/A,737.14k,N/A,1.4k,N/A,$81.54
SPIN BRUSH $18 SALE GLITCH⚠,1,Household Appliances,08/31 13:10 ~ 08/31 15:48,2h 37m,savings.spy,$109.66k,N/A,123.23k,N/A,123.23k,N/A,423,N/A,$259.24
CEO Packs Orders in LA Store!!,89,"Beauty & Personal Care, Pet Supplies",08/30 16:59 ~ 08/30 22:04,5h 4m,jeffreestar,$102.71k,N/A,372.79k,N/A,372.79k,N/A,3.4k,N/A,$30.24
Faja Friday End of Summer Sale,62,"Womenswear & Underwear, Beauty & Personal Care",08/30 18:15 ~ 08/31 01:37,7h 21m,calicurvesfajas,$101.92k,N/A,158.45k,N/A,158.45k,N/A,1.73k,N/A,$58.88
The best of TINECO,40,"Beauty & Personal Care, Household Appliances, Food & Beverages",08/31 12:59 ~ 08/31 19:04,6h 5m,btypep,$89.67k,N/A,246.92k,N/A,246.92k,N/A,2.31k,N/A,$38.77
OQQ MEGA LIVE IS TODAY,23,"Womenswear & Underwear, Sports & Outdoor",08/17 13:00 ~ 08/18 03:02,14h 2m,oqqsports,$88.81k,N/A,323.92k,N/A,323.92k,N/A,2.93k,N/A,$30.34
SPIN BRUSH $18 SALE GLITCH⚠,1,Household Appliances,08/31 18:09 ~ 08/31 21:13,3h 4m,savings.spy,$86.33k,N/A,97.01k,N/A,97.01k,N/A,333,N/A,$259.24
⚠ FLASH SALE ELECTRIC SPIN BRUSH,1,Household Appliances,08/31 08:33 ~ 08/31 11:56,3h 23m,andi.review0,$85.29k,N/A,95.77k,N/A,95.77k,N/A,329,N/A,$259.24
⚠ FLASH SALE ELECTRIC SPIN BRUSH,1,Household Appliances,08/30 20:31 ~ 08/31 00:00,3h 29m,andi.review0,$85.29k,N/A,76.09k,N/A,76.09k,N/A,329,N/A,$259.24
Welcome! Ask me questions below!,1,Beauty & Personal Care,08/11 03:02 ~ 08/11 13:18,10h 15m,maxx.finds,$84.41k,N/A,1.12m,N/A,1.12m,N/A,1.41k,N/A,$59.99
N/A,94,"Health, Beauty & Personal Care, Automotive & Motorcycle",08/19 13:52 ~ 08/25 18:24,148h 32m,luv06060,$84.31k,N/A,180.14k,N/A,180.14k,N/A,3.4k,N/A,$24.78
⚠ FLASH SALE ELECTRIC SPIN BRUSH,1,Household Appliances,08/30 09:01 ~ 08/30 11:58,2h 56m,andi.review0,$83.22k,N/A,74.28k,N/A,74.28k,N/A,321,N/A,$259.24
Exclusive Dubai Perfume Sale ❤️,40,"Beauty & Personal Care, Muslim Fashion",08/24 16:14 ~ 08/24 23:37,7h 23m,omavery,$83.19k,N/A,215.02k,N/A,215.02k,N/A,2.39k,N/A,$34.88
Anti Aging Beauty/Health,33,"Beauty & Personal Care, Health, Food & Beverages",08/18 12:59 ~ 08/18 21:10,8h 10m,btypep,$81.38k,N/A,300.84k,N/A,300.84k,N/A,2.46k,N/A,$33.07
call the Uber! Nate’s here,88,"Sports & Outdoor, Toys & Hobbies",08/21 13:59 ~ 08/22 05:09,15h 10m,theballersbank,$77.38k,N/A,64.56k,N/A,64.56k,N/A,217,N/A,$356.59
9 Drawer Dresser Sale Ending🚨,1,Home Supplies,08/09 15:25 ~ 08/10 01:32,10h 7m,jaydonhelpsyousave,$76.99k,N/A,135.91k,N/A,135.91k,N/A,1.24k,N/A,$61.99
9 Drawer Dresser!!!,3,Home Supplies,08/07 18:15 ~ 08/07 21:09,2h 53m,workingmama40,$76.68k,N/A,128.67k,N/A,128.67k,N/A,1.24k,N/A,$61.99
Live,18,"Toys & Hobbies, Sports & Outdoor",08/09 18:56 ~ 08/10 04:39,9h 43m,huntbreaks,$75.56k,N/A,23.63k,N/A,23.63k,N/A,61,N/A,$1.24k
