Product Name,Shipped From,Product Category,Product Price,30 Days Lowest Price,Shop Name,Revenue in Yesterday,Revenue per day in Yesterday,Number of products sold in Yesterday,Number of products sold per day in Yesterday,Avg Unit Price in Yesterday,Live Revenue in Yesterday,Live Revenue per day in Yesterday,Video Revenue in Yesterday,Video Revenue per day in Yesterday,Shopping Mall Revenue in Yesterday,Shopping Mall Revenue per day in Yesterday,Revenue in Last 7 Days,Revenue per day in Last 7 Days,Number of products sold in Last 7 Days,Number of products sold per day in Last 7 Days,Avg Unit Price in Last 7 Days,Live Revenue in Last 7 Days,Live Revenue per day in Last 7 Days,Video Revenue in Last 7 Days,Video Revenue per day in Last 7 Days,Shopping Mall Revenue in Last 7 Days,Shopping Mall Revenue per day in Last 7 Days,Revenue in Last 30 Days,Revenue per day in Last 30 Days,Number of products sold in Last 30 Days,Number of products sold per day in Last 30 Days,Avg Unit Price in Last 30 Days,Live Revenue in Last 30 Days,Live Revenue per day in Last 30 Days,Video Revenue in Last 30 Days,Video Revenue per day in Last 30 Days,Shopping Mall Revenue in Last 30 Days,Shopping Mall Revenue per day in Last 30 Days,Revenue in Last 90 Days,Revenue per day in Last 90 Days,Number of products sold in Last 90 Days,Number of products sold per day in Last 90 Days,Avg Unit Price in Last 90 Days,Live Revenue in Last 90 Days,Live Revenue per day in Last 90 Days,Video Revenue in Last 90 Days,Video Revenue per day in Last 90 Days,Shopping Mall Revenue in Last 90 Days,Shopping Mall Revenue per day in Last 90 Days,Revenue in Last 180 Days,Revenue per day in Last 180 Days,Number of products sold in Last 180 Days,Number of products sold per day in Last 180 Days,Avg Unit Price in Last 180 Days,Live Revenue in Last 180 Days,Live Revenue per day in Last 180 Days,Video Revenue in Last 180 Days,Video Revenue per day in Last 180 Days,Shopping Mall Revenue in Last 180 Days,Shopping Mall Revenue per day in Last 180 Days,Earliest Date Recorded,TikTok Link,Image URLs
CAKES covers,Ship From Local,Womenswear & Underwear > Women's Underwear,$30.00,$24.70,CAKES body,$56.58k,$56.58k Per Day,1.89k,1.89k Per Day,$30.00,$9.42k,$9.42k Per Day,$47.16k,$47.16k Per Day,$0.00,$0.00 Per Day,$1.07m,$152.31k Per Day,40.77k,5.82k Per Day,$26.15,$248.01k,$35.43k Per Day,$818.15k,$116.88k Per Day,$0.00,$0.00 Per Day,$5.22m,$173.93k Per Day,187.23k,6.24k Per Day,$27.87,$1.25m,$41.54k Per Day,$3.96m,$131.89k Per Day,$14.85k,$495.00 Per Day,$12.15m,$135.04k Per Day,428.8k,4.76k Per Day,$28.34,$1.92m,$21.37k Per Day,$9.69m,$107.65k Per Day,$541.47k,$6.02k Per Day,$13.02m,$72.36k Per Day,465.99k,2.59k Per Day,$27.95,$1.93m,$10.73k Per Day,$10.54m,$58.55k Per Day,$553.07k,$3.07k Per Day,02/06/2024,https://shop.tiktok.com/view/product/1729418496836080191?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729418496836080191"
"9-Drawer Dresser, Storage Unit Organizer Chest for Clothes, Tall Dresser & Chest of Drawers for Bedroom, Hallway, Living Room, Closet, & Dorm Furniture - Steel Frame, Wood Top",Ship From Local,Home Supplies > Home Organizers > Storage Boxes & Bins,$45.59 - $70.99,$36.00,MyDepot,$0.00,$0.00 Per Day,0,0 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upholstery Deodorizer (16 oz.) Household Scented,Ship From Local,Home Supplies > Home Care Supplies > Home Fragrance,$6.40 - $8.00,$5.99,Mavwicks Fragrances LLC,$30.36k,$30.36k Per Day,4.74k,4.74k Per Day,$6.40,$1.48k,$1.48k Per Day,$28.88k,$28.88k Per Day,$0.00,$0.00 Per Day,$238.40k,$34.06k Per Day,34.78k,4.97k Per Day,$6.85,$37.75k,$5.39k Per Day,$200.65k,$28.66k Per Day,$0.00,$0.00 Per Day,$3.98m,$132.65k Per Day,656.21k,21.87k Per Day,$6.06,$440.29k,$14.68k Per Day,$908.50k,$30.28k Per Day,$2.63m,$87.69k Per Day,$5.91m,$65.72k Per Day,971.3k,10.79k Per Day,$6.09,$915.30k,$10.17k Per Day,$2.33m,$25.88k Per Day,$2.67m,$29.66k Per Day,$6.39m,$35.51k Per Day,1.04m,5.8k Per Day,$6.12,$1.03m,$5.74k Per Day,$2.57m,$14.26k Per Day,$2.79m,$15.52k Per Day,09/01/2023,https://shop.tiktok.com/view/product/1729395902487761359?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729395902487761359,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729395902487761359,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729395902487761359,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729395902487761359"
"Nello Supercalm Powdered Drink Mix, Raspberry Lemonade, L Theanine, Ksm-66 Ashwagandha, Magnesium Glycinate, Vitamin D 3, Supplements for Relaxation & Focus, No Sugar, Non GMO,",Ship From Local,Health > Food Supplement > Weight Management,$29.97,$29.97,Drink Nello,$38.30k,$38.30k Per Day,1.28k,1.28k Per Day,$29.97,$10.82k,$10.82k Per Day,$27.48k,$27.48k Per Day,$0.00,$0.00 Per Day,$287.29k,$41.04k Per Day,9.59k,1.37k Per Day,$29.97,$63.45k,$9.06k Per Day,$223.85k,$31.98k Per Day,$0.00,$0.00 Per Day,$3.10m,$103.25k Per Day,83.79k,2.79k Per Day,$36.97,$402.58k,$13.42k Per Day,$2.70m,$89.83k Per Day,$0.00,$0.00 Per Day,$5.97m,$66.30k Per Day,171.96k,1.91k Per Day,$34.70,$797.09k,$8.86k Per Day,$5.14m,$57.16k Per Day,$26.09k,$289.86 Per Day,$6.75m,$39.45k Per Day,199.43k,1.17k Per Day,$33.82,$884.86k,$5.17k Per Day,$5.79m,$33.86k Per Day,$71.00k,$415.23 Per Day,03/09/2024,https://shop.tiktok.com/view/product/1729413027751104952?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729413027751104952,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729413027751104952,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729413027751104952,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729413027751104952,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729413027751104952,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729413027751104952,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729413027751104952,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729413027751104952,https://www.kalodata.com/product/detail/getImage?imageIndex=9&productId=1729413027751104952"
"15 Day Cleanse - Gut and Colon Support | Caffeine Free | Advanced Formula with Senna, Cascara Sagrada, & Psyllium Husk | Non-GMO | 30 capsules",Ship From Local,Health > Food Supplement > Beauty Supplements,$7.40 - $20.00,$7.40,Milamiamor,$80.85k,$80.85k Per Day,4.62k,4.62k Per Day,$17.50,$40.44k,$40.44k Per Day,$39.71k,$39.71k Per Day,$700.00,$700.00 Per Day,$629.18k,$89.88k Per Day,35.95k,5.14k Per Day,$17.50,$269.24k,$38.46k Per Day,$333.36k,$47.62k Per Day,$26.58k,$3.80k Per Day,$2.87m,$95.50k Per Day,169.33k,5.64k Per Day,$16.92,$1.32m,$44.01k Per Day,$1.41m,$47.04k Per Day,$133.56k,$4.45k Per Day,$12.19m,$135.40k Per Day,742.05k,8.25k Per Day,$16.42,$5.56m,$61.73k Per Day,$5.73m,$63.64k Per Day,$902.89k,$10.03k Per Day,$27.58m,$153.20k Per Day,1.59m,8.85k Per Day,$17.31,$14.72m,$81.76k Per Day,$11.96m,$66.43k Per Day,$903.57k,$5.02k Per Day,10/14/2023,https://shop.tiktok.com/view/product/1729401873273951198?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729401873273951198,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729401873273951198,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729401873273951198,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729401873273951198,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729401873273951198,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729401873273951198,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729401873273951198,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729401873273951198"
"Micro Ingredients Multi Collagen Peptides Powder 1Lb / 2Lb - Hydrolyzed Protein Peptides (Type I,II,III,V,X) with Hyaluronic Acid, Biotin & Vitamin C - Unflavored",Ship From Local,Health > Food Supplement > Beauty Supplements,$29.70 - $33.95,$25.34,Micro Ingredients,$61.68k,$61.68k Per Day,1.94k,1.94k Per Day,$31.82,$33.16k,$33.16k Per Day,$28.52k,$28.52k Per Day,$0.00,$0.00 Per Day,$490.39k,$70.06k Per Day,15.41k,2.2k Per Day,$31.82,$287.38k,$41.05k Per Day,$200.88k,$28.70k Per Day,$2.13k,$304.61 Per Day,$2.37m,$78.99k Per Day,74.35k,2.48k Per Day,$31.87,$1.59m,$52.91k Per Day,$780.18k,$26.01k Per Day,$2.13k,$71.08 Per Day,$9.34m,$103.75k Per Day,299.56k,3.33k Per Day,$31.17,$6.58m,$73.13k Per Day,$2.66m,$29.53k Per Day,$98.65k,$1.10k Per Day,$23.45m,$130.28k Per Day,760.76k,4.23k Per Day,$30.83,$16.82m,$93.44k Per Day,$6.53m,$36.29k Per Day,$98.65k,$548.08 Per Day,11/13/2023,https://shop.tiktok.com/view/product/1729385034780414637?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729385034780414637,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729385034780414637,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729385034780414637,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729385034780414637,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729385034780414637,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729385034780414637"
"Goli Ashwagandha & Vitamin D Gummy - Mixed Berry, KSM-66, Vegan, Plant Based, Non-GMO, Gluten-Free & Gelatin Free. America's #1 Ashwagandha Brand",Ship From Local,Health > Food Supplement > Fitness Supplements,$13.26,$12.56,Goli Nutrition,$165.21k,$165.21k Per Day,12.46k,12.46k Per Day,$13.26,$16.30k,$16.30k Per Day,$148.91k,$148.91k Per Day,$0.00,$0.00 Per Day,$1.08m,$154.66k Per Day,79.19k,11.31k Per Day,$13.67,$125.74k,$17.96k Per Day,$956.85k,$136.69k Per Day,$0.00,$0.00 Per Day,$2.36m,$78.73k Per Day,171.93k,5.73k Per Day,$13.74,$432.60k,$14.42k Per Day,$1.93m,$64.31k Per Day,$0.00,$0.00 Per Day,$2.38m,$40.42k Per Day,173.37k,2.94k Per Day,$13.75,$445.58k,$7.55k Per Day,$1.94m,$32.85k Per Day,$798.68,$13.54 Per Day,$2.38m,$40.42k Per Day,173.37k,2.94k Per Day,$13.75,$445.58k,$7.55k Per Day,$1.94m,$32.85k Per Day,$798.68,$13.54 Per Day,06/29/2024,https://shop.tiktok.com/view/product/1729527313880355335?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729527313880355335,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729527313880355335,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729527313880355335,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729527313880355335,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729527313880355335,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729527313880355335,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729527313880355335,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729527313880355335"
"Lenovo Erazer True Wireless Open Ear Earbuds Bluetooth 5.4, IPX5 Waterproof,35Hours Play time,OWS Headphones Immersive Premium Sound Long Distance Connection Headset with Charging Case,Light-Weight Headphones Built-in Microphone",Ship From Overseas,Phones & Electronics > Audio & Video > Earphones & Headphones,$29.99,$26.09,Top Music Electronics,$0.00,$0.00 Per Day,0,0 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portable 10000mAh Power Bank, 1 Count 3 in 1 Outdoor Fan with Torch, 3 Wind Speeds Cooling Fan with LED Light, Rechargeable Camping Fan, Waist Cooling Fan for Outdoor Work, Farm, Hiking, Camping, Gardening and Travel, Back to School Gifts",Ship From Overseas,Phones & Electronics > Phones and Accessories,$21.59,$14.39,Ruimai Technology,$10.69k,$10.69k Per Day,495,495 Per Day,$21.59,$2.40k,$2.40k Per Day,$8.29k,$8.29k Per Day,$0.00,$0.00 Per Day,$109.96k,$15.71k Per Day,5.09k,727.57 Per Day,$21.59,$19.34k,$2.76k Per Day,$90.61k,$12.94k Per Day,$0.00,$0.00 Per Day,$1.94m,$64.81k Per Day,123.37k,4.11k Per Day,$15.76,$148.51k,$4.95k Per Day,$1.80m,$59.86k Per Day,$0.00,$0.00 Per Day,$3.92m,$52.29k Per Day,264.09k,3.52k Per Day,$14.85,$356.23k,$4.75k Per Day,$3.45m,$46.05k Per Day,$111.60k,$1.49k Per Day,$3.92m,$52.29k Per Day,264.09k,3.52k Per Day,$14.85,$356.23k,$4.75k Per Day,$3.45m,$46.05k Per Day,$111.60k,$1.49k Per Day,06/13/2024,https://shop.tiktok.com/view/product/1729478839153234936?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729478839153234936,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729478839153234936,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729478839153234936,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729478839153234936,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729478839153234936,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729478839153234936,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729478839153234936,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729478839153234936,https://www.kalodata.com/product/detail/getImage?imageIndex=9&productId=1729478839153234936"
GOPURE Neck Cream - Tighten & Lift Firming Neck Cream for Crepey Skin,Ship From Local,Beauty & Personal Care > Skincare > Moisturisers & Mists,$39.00 - $42.00,$35.00,Gopure,$42.52k,$42.52k Per Day,1.05k,1.05k Per Day,$40.50,$9.72k,$9.72k Per Day,$32.80k,$32.80k Per Day,$0.00,$0.00 Per Day,$386.42k,$55.20k Per Day,9.24k,1.32k Per Day,$41.83,$111.99k,$16.00k Per Day,$274.43k,$39.20k Per Day,$0.00,$0.00 Per Day,$1.80m,$59.94k Per Day,44.66k,1.49k Per Day,$40.27,$610.58k,$20.35k Per Day,$1.19m,$39.58k Per Day,$0.00,$0.00 Per Day,$5.84m,$64.92k Per Day,150.29k,1.67k Per Day,$38.88,$2.04m,$22.65k Per Day,$3.68m,$40.92k Per Day,$121.10k,$1.35k Per Day,$10.51m,$58.38k Per Day,280.04k,1.56k Per Day,$37.52,$2.70m,$15.00k Per Day,$7.65m,$42.47k Per Day,$162.40k,$902.23 Per Day,10/02/2023,https://shop.tiktok.com/view/product/1729397194585903513?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729397194585903513"
