shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
MyDepot,RETAILER,05/14/2024,$81.42k,$7.53k Per Day,$71.45k,$71.45k Per Day,(9.24%),(87.76%),(3%),$894.42k,$4.62k Per Day,$818.80k,$116.97k Per Day,(3.61%),(91.55%),(4.84%),$5.89m,$6.29k Per Day,$5.51m,$183.71k Per Day,(3.21%),(93.59%),(3.2%),$11.49m,$4.33k Per Day,$10.70m,$118.84k Per Day,(3.39%),(93.09%),(3.51%),$11.81m,$3.45k Per Day,$10.99m,$97.26k Per Day,(3.3%),(93.03%),(3.67%)
Micro Ingredients,BRAND,09/08/2023,$102.04k,$10.29k Per Day,$90.38k,$90.38k Per Day,(10.08%),(88.57%),(1.35%),$767.70k,$13.59k Per Day,$661.14k,$94.45k Per Day,(12.39%),(86.12%),(1.49%),$4.91m,$11.41k Per Day,$4.47m,$148.98k Per Day,(6.96%),(90.94%),(2.1%),$19.16m,$12.06k Per Day,$16.72m,$185.79k Per Day,(5.67%),(87.28%),(7.05%),$47.26m,$10.74k Per Day,$43.54m,$241.87k Per Day,(4.09%),(92.12%),(3.79%)
wavytalk,BRAND,08/10/2023,$115.34k,$8.25k Per Day,$107.09k,$107.09k Per Day,(7.15%),(92.85%),(0%),$926.88k,$5.06k Per Day,$864.52k,$123.50k Per Day,(3.82%),(93.27%),(2.91%),$4.55m,$7.84k Per Day,$4.26m,$141.85k Per Day,(5.17%),(93.58%),(1.25%),$11.36m,$6.73k Per Day,$10.27m,$114.10k Per Day,(5.33%),(90.38%),(4.28%),$17.17m,$3.86k Per Day,$15.96m,$88.68k Per Day,(4.05%),(92.98%),(2.97%)
Goli Nutrition,RETAILER,06/29/2024,$237.04k,$0.00 Per Day,$237.04k,$237.04k Per Day,(0%),(100%),(0%),$1.17m,$6.37 Per Day,$1.17m,$166.90k Per Day,(0%),(100%),(0%),$4.24m,$131.48 Per Day,$4.23m,$141.09k Per Day,(0.09%),(99.82%),(0.09%),$4.41m,$98.48 Per Day,$4.39m,$64.52k Per Day,(0.15%),(99.55%),(0.3%),$4.41m,$98.48 Per Day,$4.39m,$64.52k Per Day,(0.15%),(99.55%),(0.3%)
Halara US,BRAND,10/11/2023,$139.36k,$0.00 Per Day,$133.70k,$133.70k Per Day,(0%),(95.94%),(4.06%),$918.82k,$4.75k Per Day,$822.67k,$117.52k Per Day,(3.62%),(89.54%),(6.85%),$4.19m,$15.77k Per Day,$3.39m,$113.01k Per Day,(11.29%),(80.9%),(7.81%),$12.81m,$13.86k Per Day,$10.18m,$113.08k Per Day,(9.74%),(79.44%),(10.82%),$24.59m,$17.81k Per Day,$19.32m,$107.36k Per Day,(13.04%),(78.58%),(8.38%)
Ekkovision,BRAND,09/29/2023,$138.75k,$4.85k Per Day,$133.28k,$133.28k Per Day,(3.5%),(96.06%),(0.44%),$939.86k,$10.34k Per Day,$862.10k,$123.16k Per Day,(7.7%),(91.73%),(0.57%),$4.14m,$14.94k Per Day,$3.65m,$121.78k Per Day,(10.81%),(88.16%),(1.02%),$10.26m,$14.97k Per Day,$8.53m,$94.73k Per Day,(13.12%),(83.06%),(3.82%),$17.91m,$18.22k Per Day,$14.00m,$77.78k Per Day,(18.31%),(78.16%),(3.53%)
CAKES body,BRAND,11/21/2023,$102.64k,$0.00 Per Day,$102.64k,$102.64k Per Day,(0%),(100%),(0%),$606.90k,$0.00 Per Day,$606.90k,$86.70k Per Day,(0%),(100%),(0%),$4.10m,$0.00 Per Day,$4.08m,$135.98k Per Day,(0%),(99.6%),(0.4%),$12.69m,$0.00 Per Day,$12.18m,$135.36k Per Day,(0%),(96.01%),(3.99%),$13.81m,$0.00 Per Day,$13.25m,$73.60k Per Day,(0%),(95.95%),(4.05%)
FeelinGirl LLC,BRAND,08/02/2023,$131.37k,$1.02k Per Day,$97.98k,$97.98k Per Day,(0.78%),(74.59%),(24.63%),$852.64k,$146.41 Per Day,$663.60k,$94.80k Per Day,(0.12%),(77.83%),(22.05%),$3.93m,$2.57k Per Day,$3.33m,$110.83k Per Day,(1.96%),(84.65%),(13.39%),$10.95m,$3.05k Per Day,$8.70m,$96.62k Per Day,(2.51%),(79.4%),(18.09%),$17.69m,$3.11k Per Day,$14.60m,$81.09k Per Day,(3.17%),(82.5%),(14.33%)
Medicube US,RETAILER,05/07/2024,$71.99k,$2.37k Per Day,$69.53k,$69.53k Per Day,(3.29%),(96.58%),(0.13%),$683.50k,$1.42k Per Day,$672.64k,$96.09k Per Day,(1.46%),(98.41%),(0.13%),$3.51m,$3.31k Per Day,$3.33m,$111.14k Per Day,(2.84%),(95.09%),(2.08%),$6.49m,$1.28k Per Day,$6.13m,$68.10k Per Day,(1.78%),(94.42%),(3.8%),$6.62m,$954.94 Per Day,$6.20m,$51.27k Per Day,(1.75%),(93.79%),(4.47%)
vevor store,BRAND,09/20/2023,$69.27k,$1.42k Per Day,$61.65k,$61.65k Per Day,(2.05%),(89%),(8.95%),$588.84k,$2.11k Per Day,$528.87k,$75.55k Per Day,(2.51%),(89.82%),(7.67%),$3.31m,$2.57k Per Day,$2.96m,$98.62k Per Day,(2.32%),(89.27%),(8.41%),$8.81m,$2.34k Per Day,$7.25m,$80.57k Per Day,(2.39%),(82.35%),(15.26%),$12.67m,$1.97k Per Day,$10.12m,$56.24k Per Day,(2.8%),(79.93%),(17.27%)
