video_title,video_tags,video_music_info,video_publish_date,video_duration,video_advertising_information,video_earliest_date_recorded,video_views_yesterday,video_views_per_day_yesterday,item_sold_yesterday,item_sold_per_day_yesterday,video_revenue_yesterday,video_revenue_per_day_yesterday,video_new_followers_yesterday,video_new_followers_per_day_yesterday,video_ad_view_ratio_yesterday,video_ad_revenue_ratio_yesterday,video_ad_spend_yesterday,video_ad_roas_yesterday,video_views_last_7_days,video_views_per_day_last_7_days,item_sold_last_7_days,item_sold_per_day_last_7_days,video_revenue_last_7_days,video_revenue_per_day_last_7_days,video_new_followers_last_7_days,video_new_followers_per_day_last_7_days,video_ad_view_ratio_last_7_days,video_ad_revenue_ratio_last_7_days,video_ad_spend_last_7_days,video_ad_roas_last_7_days,video_views_last_30_days,video_views_per_day_last_30_days,item_sold_last_30_days,item_sold_per_day_last_30_days,video_revenue_last_30_days,video_revenue_per_day_last_30_days,video_new_followers_last_30_days,video_new_followers_per_day_last_30_days,video_ad_view_ratio_last_30_days,video_ad_revenue_ratio_last_30_days,video_ad_spend_last_30_days,video_ad_roas_last_30_days,video_views_last_90_days,video_views_per_day_last_90_days,item_sold_last_90_days,item_sold_per_day_last_90_days,video_revenue_last_90_days,video_revenue_per_day_last_90_days,video_new_followers_last_90_days,video_new_followers_per_day_last_90_days,video_ad_view_ratio_last_90_days,video_ad_revenue_ratio_last_90_days,video_ad_spend_last_90_days,video_ad_roas_last_90_days,video_views_last_180_days,video_views_per_day_last_180_days,item_sold_last_180_days,item_sold_per_day_last_180_days,video_revenue_last_180_days,video_revenue_per_day_last_180_days,video_new_followers_last_180_days,video_new_followers_per_day_last_180_days,video_ad_view_ratio_last_180_days,video_ad_revenue_ratio_last_180_days,video_ad_spend_last_180_days,video_ad_roas_last_180_days
Cut it or keep it?👀 folllow for hair tutorials !,#b2swithwavytalk #bighair #curlyhair #curlytostraight #easyhairstyles #hairgoals #hairstyle #hairstyles #hairtutorial #longhair #shinyhair #straighteningcurlyhair #straighteninghair #tiktokshopbacktoschool,original sound - danielleathena,"Aug 6, 2024",1m 57s,19 Days (2024-08-07 - 2024-09-04),08/06/2024,317.23k,317.23k Per Day,218,218 Per Day,$8.72k,$8.72k Per Day,492,492 Per Day,>90%,>90%,$4.54k,1.92,1.26m,180.5k Per Day,1.07k,152.43 Per Day,$42.67k,$6.10k Per Day,4.47k,639.14 Per Day,46.07%,35.71%,$14.08k,1.08,25.92m,863.84k Per Day,15.97k,532.3 Per Day,$624.71k,$20.82k Per Day,33.06k,1.1k Per Day,>90%,>90%,$433.04k,1.32,25.92m,287.95k Per Day,15.97k,177.43 Per Day,$624.71k,$6.94k Per Day,33.06k,367.34 Per Day,>90%,>90%,$433.04k,1.32,25.92m,143.97k Per Day,15.97k,88.72 Per Day,$624.71k,$3.47k Per Day,33.06k,183.67 Per Day,>90%,>90%,$433.04k,1.32
The Lenovo XP2s are TAKING OVER!,#earbuds #earphones #headphones #lenovoxp2 #tiktokshopdeals,original sound - Dad Just Living The Dream,"Aug 5, 2024",1m 8s,2 Days (2024-08-23 - 2024-08-24),08/05/2024,23.59m,786.18k Per Day,18.49k,616.17 Per Day,$529.33k,$17.64k Per Day,21.66k,722.13 Per Day,3.52%,0%,$15.97k,0,23.59m,786.18k Per Day,18.49k,616.17 Per Day,$529.33k,$17.64k Per Day,21.66k,722.13 Per Day,3.52%,0%,$15.97k,0,23.59m,786.18k Per Day,18.49k,616.17 Per Day,$529.33k,$17.64k Per Day,21.66k,722.13 Per Day,3.52%,0%,$15.97k,0,24.92m,276.84k Per Day,20.12k,223.54 Per Day,$578.33k,$6.43k Per Day,21.66k,240.71 Per Day,3.33%,0%,$15.97k,0,24.92m,138.42k Per Day,20.12k,111.77 Per Day,$578.33k,$3.21k Per Day,21.66k,120.36 Per Day,3.33%,0%,$15.97k,0
The shaver for your needs and christmas gifts!! Stockingstuffers too!,#christmasgift #christmasgiftideas #christmastiktok #electricshaver #stockingstuffers #tiktokfind #womensrazor #womensshaver,original sound - jenna_seas,"Aug 17, 2024",1m 15s,No record of Advertising placement was found,08/17/2024,285.24k,285.24k Per Day,277,277 Per Day,$4.70k,$4.70k Per Day,285,285 Per Day,0%,0%,$0.00,0,1.74m,248.25k Per Day,2.06k,294.43 Per Day,$37.60k,$5.37k Per Day,1.65k,235.71 Per Day,0%,0%,$0.00,0,25.19m,839.57k Per Day,23.66k,788.77 Per Day,$404.40k,$13.48k Per Day,12.91k,430.47 Per Day,0%,0%,$0.00,0,25.19m,279.86k Per Day,23.66k,262.92 Per Day,$404.40k,$4.49k Per Day,12.91k,143.49 Per Day,0%,0%,$0.00,0,25.19m,139.93k Per Day,23.66k,131.46 Per Day,$404.40k,$2.25k Per Day,12.91k,71.74 Per Day,0%,0%,$0.00,0
If it aint KSM66 i dont want it,#ashwagandha #goli,original sound - ibuycoolstuff,"Aug 7, 2024",50s,8 Days (2024-08-22 - 2024-09-02),08/07/2024,36.9k,36.9k Per Day,63,63 Per Day,$835.38,$835.38 Per Day,30,30 Per Day,0%,0%,$0.00,0,757.85k,108.26k Per Day,1.16k,165.57 Per Day,$16.01k,$2.29k Per Day,120,17.14 Per Day,89.39%,>90%,$13.40k,1.11,25.8m,859.99k Per Day,27.79k,926.4 Per Day,$379.70k,$12.66k Per Day,23.69k,789.57 Per Day,27.17%,32.01%,$137.40k,0.88,25.8m,286.66k Per Day,27.79k,308.8 Per Day,$379.70k,$4.22k Per Day,23.69k,263.19 Per Day,27.17%,32.01%,$137.40k,0.88,25.8m,143.33k Per Day,27.79k,154.4 Per Day,$379.70k,$2.11k Per Day,23.69k,131.59 Per Day,27.17%,32.01%,$137.40k,0.88
Replying to @user#1loving5u we appreciate the question! Hope this answers some of yalls question 🫶🏼,N/A,"Aug 15, 2024",N/A,N/A,N/A,08/15/2024,781.24k,781.24k Per Day,586,586 Per Day,$7.61k,$7.61k Per Day,1.38k,1.38k Per Day,0%,0%,$0.00,0,4.47m,638.78k Per Day,3.64k,519.57 Per Day,$48.04k,$6.86k Per Day,13.98k,2k Per Day,0%,0%,$0.00,0,41.6m,1.39m Per Day,26.16k,871.87 Per Day,$353.02k,$11.77k Per Day,141.78k,4.73k Per Day,64.37%,53.31%,$415.00k,0.45,41.6m,462.23k Per Day,26.16k,290.62 Per Day,$353.02k,$3.92k Per Day,141.78k,1.58k Per Day,64.37%,53.31%,$415.00k,0.45,41.6m,231.11k Per Day,26.16k,145.31 Per Day,$353.02k,$1.96k Per Day,141.78k,787.69 Per Day,64.37%,53.31%,$415.00k,0.45
"Body odor, bad breath, hair loss or thinning, puffy moonfaces or annoying flupas, brain fog, trouble remembering things, trouble in the bathroom, are all possible signs of having high cortisol. These are my favorite drink packets that I have been using to help me lower my cortisol!",#ashwagandha #cortisol #cortisollevels #highcortisol #highcortisollevels #highcortisolsymptoms #supplementsforwomen #vitamind3,original sound - bellswellness,"Aug 6, 2024",48s,No record of Advertising placement was found,08/06/2024,154.8k,154.8k Per Day,60,60 Per Day,$1.80k,$1.80k Per Day,296,296 Per Day,0%,0%,$0.00,0,472.26k,67.47k Per Day,218,31.14 Per Day,$6.53k,$933.35 Per Day,1.42k,202.14 Per Day,0%,0%,$0.00,0,11.21m,373.8k Per Day,9.04k,301.27 Per Day,$336.25k,$11.21k Per Day,11.89k,396.17 Per Day,0%,0%,$0.00,0,11.21m,124.6k Per Day,9.04k,100.42 Per Day,$336.25k,$3.74k Per Day,11.89k,132.06 Per Day,0%,0%,$0.00,0,11.21m,62.3k Per Day,9.04k,50.21 Per Day,$336.25k,$1.87k Per Day,11.89k,66.03 Per Day,0%,0%,$0.00,0
These leggings didn’t go viral for nothing👀 @Halara_official,#halara #halaraleggings #halaratiktokshop #momhacks #momsoftiktok #momtok #tummycontrol,original sound - alohaitzkiana,"Aug 10, 2024",1m 24s,11 Days (2024-08-13 - 2024-08-29),08/10/2024,167.55k,167.55k Per Day,133,133 Per Day,$3.91k,$3.91k Per Day,49,49 Per Day,0%,0%,$0.00,0,1.81m,258.5k Per Day,926,132.29 Per Day,$27.07k,$3.87k Per Day,586,83.71 Per Day,79.97%,62.60%,$39.10k,0.43,12.77m,425.78k Per Day,9.9k,330.03 Per Day,$283.75k,$9.46k Per Day,9.14k,304.67 Per Day,88.78%,84.77%,$290.68k,0.83,12.77m,141.93k Per Day,9.9k,110.01 Per Day,$283.75k,$3.15k Per Day,9.14k,101.56 Per Day,88.78%,84.77%,$290.68k,0.83,12.77m,70.96k Per Day,9.9k,55.01 Per Day,$283.75k,$1.58k Per Day,9.14k,50.78 Per Day,88.78%,84.77%,$290.68k,0.83
MUST HAVE FOR BLUE COLLAR WORKERS!!,#bluecollarboys #bluecollarjobs #bluecollarlife #bluecollarworker #bluecollarworkers #constructioncheck #constructionlifebaby #constructionlife💪👷‍♂️ #constructionworker #personalfan #portablefan #tiktokshopbacktoschool,original sound - Sheri,"Aug 5, 2024",54s,10 Days (2024-08-26 - 2024-09-04),08/05/2024,89.96k,89.96k Per Day,26,26 Per Day,$561.34,$561.34 Per Day,87,87 Per Day,>90%,>90%,$797.81,0.7,1.39m,198.96k Per Day,707,101 Per Day,$15.26k,$2.18k Per Day,1.47k,210.14 Per Day,>90%,>90%,$15.18k,1.01,30.11m,1m Per Day,17.23k,574.37 Per Day,$279.03k,$9.30k Per Day,18.48k,615.93 Per Day,6.69%,8.51%,$22.86k,1.04,30.15m,335.03k Per Day,17.28k,192 Per Day,$279.83k,$3.11k Per Day,18.48k,205.31 Per Day,6.68%,8.49%,$22.86k,1.04,30.15m,167.52k Per Day,17.28k,96 Per Day,$279.83k,$1.55k Per Day,18.48k,102.66 Per Day,6.68%,8.49%,$22.86k,1.04
Replying to @Dennis Ho It comes with three different sound/suction levels! You can train your dog in no time! I like this one the best!,#catgrooming #cats #dogbrushing #doggroomer #doggrooming #dogs #dogsoftiktok #dogvacuum #hair #spring #springclean #springcleaning #vacuum,original sound - k9_unit_369,"Apr 9, 2024",56s,36 Days (2024-04-10 - 2024-09-02),05/23/2024,72.59k,72.59k Per Day,44,44 Per Day,$2.81k,$2.81k Per Day,0,0 Per Day,0%,0%,$0.00,0,569.45k,81.35k Per Day,548,78.29 Per Day,$35.01k,$5.00k Per Day,8,1.14 Per Day,17.64%,16.06%,$2.37k,2.37,3.25m,108.29k Per Day,4.35k,145 Per Day,$277.92k,$9.26k Per Day,8,0.27 Per Day,65.27%,70.99%,$44.11k,4.47,7.71m,85.62k Per Day,8.01k,89.01 Per Day,$483.12k,$5.37k Per Day,87.45k,971.62 Per Day,66.52%,61.57%,$118.89k,2.5,12.51m,69.51k Per Day,9.33k,51.82 Per Day,$561.87k,$3.12k Per Day,181.72k,1.01k Per Day,76.70%,61.91%,$214.26k,1.62
I cant stop cleaning??? @Dawn and Dusk,#cleantok #mop #steam #steammop,original sound - Nicole | mamahood,"Aug 20, 2024",1m 5s,12 Days (2024-08-23 - 2024-09-04),08/20/2024,1.07m,1.07m Per Day,295,295 Per Day,$26.55k,$26.55k Per Day,327,327 Per Day,>90%,>90%,$25.08k,1.06,11.16m,1.59m Per Day,2.38k,340.29 Per Day,$221.37k,$31.62k Per Day,2.01k,287.71 Per Day,>90%,>90%,$274.77k,0.81,13.68m,455.89k Per Day,2.84k,94.5 Per Day,$266.66k,$8.89k Per Day,2.62k,87.47 Per Day,>90%,>90%,$333.28k,0.78,13.68m,151.96k Per Day,2.84k,31.5 Per Day,$266.66k,$2.96k Per Day,2.62k,29.16 Per Day,>90%,>90%,$333.28k,0.78,13.68m,75.98k Per Day,2.84k,15.75 Per Day,$266.66k,$1.48k Per Day,2.62k,14.58 Per Day,>90%,>90%,$333.28k,0.78
