Product Name,Price,Revenue,Items Sold,Avg Unit Price,Number of Creators,Launch Date,Conversion Ratio
CAKES covers,$27.00,$1.30m,44.28k,$29.40,1.64k,2024-02-06,30.49%
"Portable 10000mAh Power Bank, 1 Count 3 in 1 Outdoor Fan with Torch, 3 Wind Speeds Cooling Fan with LED Light, Rechargeable Camping Fan, Waist Cooling Fan for Outdoor Work, Farm, Hiking, Camping, Gardening and Travel, Back to School Gifts",$16.22,$930.41k,58.59k,$15.88,1.34k,2024-06-13,26.38%
"9-Drawer Dresser, Storage Unit Organizer Chest for Clothes, Tall Dresser & Chest of Drawers for Bedroom, Hallway, Living Room, Closet, & Dorm Furniture - Steel Frame, Wood Top",$56.99 - $70.99,$838.04k,13.52k,$61.99,577,2024-05-28,40.03%
"Nello Supercalm Powdered Drink Mix, Raspberry Lemonade, L Theanine, Ksm-66 Ashwagandha, Magnesium Glycinate, Vitamin D 3, Supplements for Relaxation & Focus, No Sugar, Non GMO,",$35.95 - $40.45,$700.38k,18.12k,$38.66,1.38k,2024-03-09,18.33%
"Lenovo Erazer True Wireless Open Ear Earbuds Bluetooth 5.4, IPX5 Waterproof,35Hours Play time,OWS Headphones Immersive Premium Sound Long Distance Connection Headset with Charging Case,Light-Weight Headphones Built-in Microphone",$28.99,$689.14k,23.14k,$29.79,354,2024-06-18,19.21%
"15 Day Cleanse - Gut and Colon Support | Caffeine Free | Advanced Formula with Senna, Cascara Sagrada, & Psyllium Husk | Non-GMO | 30 capsules",$7.40 - $20.00,$687.38k,41.19k,$16.69,4.59k,2023-10-14,15.23%
"SUSTEAS Rotary Cheese Grater with Handle Mother's Day- Food Shredder with 5 Well-designed Blades & Strong Suction Base,Round Mandoline Slicer & Vegetable Grater Rotary for Kitchen,1 Bonus Blade Storage Box Utensils",$28.04,$563.81k,17.25k,$32.69,598,2023-08-05,41.64%
"Men's Letter Print Drawstring Waist Back To School Shorts, Casual Streetwear Pocket Straight Leg Shorts, Men's Fitness Summer Bottoms for Gym Daily Wear, Summer Outfits 2024",$54.19 - $54.89,$513.16k,14.71k,$34.88,1.41k,2024-04-19,15.67%
"Micro Ingredients Multi Collagen Peptides Powder - Hydrolyzed Protein Peptides (Type I,II,III,V,X) with Hyaluronic Acid, Biotin & Vitamin C - Unflavored",$29.70 - $33.95,$490.52k,15.41k,$31.82,4.64k,2023-11-13,10.80%
Car Air Freshener - Multiple scent options,$4.31 - $8.99,$474.23k,70.89k,$6.69,62,2023-08-22,0.00%
