Product Name,Price,Revenue,Items Sold,Avg Unit Price,Number of Creators,Launch Date,Conversion Ratio
"9-Drawer Dresser, Storage Unit Organizer Chest for Clothes, Tall Dresser & Chest of Drawers for Bedroom, Hallway, Living Room, Closet, & Dorm Furniture - Steel Frame, Wood Top",$59.99 - $70.99,$1.76m,28.36k,$61.99,301,2024-05-28,100.00%
"Nello Supercalm Powdered Drink Mix, Raspberry Lemonade, L Theanine, Ksm-66 Ashwagandha, Magnesium Glycinate, Vitamin D 3, Supplements for Relaxation & Focus, No Sugar, Non GMO,",$35.95 - $40.45,$1.40m,36.22k,$38.63,292,2024-03-09,100.00%
CAKES covers,$27.00,$1.32m,46.52k,$28.42,575,2024-02-06,100.00%
"Portable 10000mAh Power Bank, 1 Count 3 in 1 Outdoor Fan with Torch, 3 Wind Speeds Cooling Fan with LED Light, Rechargeable Camping Fan, Waist Cooling Fan for Outdoor Work, Farm, Hiking, Camping, Gardening and Travel, Back to School Gifts",$14.65,$1.01m,63.48k,$15.99,414,2024-06-13,100.00%
"Lenovo Erazer True Wireless Open Ear Earbuds Bluetooth 5.4, IPX5 Waterproof,35Hours Play time,OWS Headphones Immersive Premium Sound Long Distance Connection Headset with Charging Case,Light-Weight Headphones Built-in Microphone",$28.99,$817.14k,28.46k,$28.71,104,2024-06-18,100.00%
"15 Day Cleanse - Gut and Colon Support | Caffeine Free | Advanced Formula with Senna, Cascara Sagrada, & Psyllium Husk | Non-GMO | 30 capsules",$7.40 - $20.00,$685.07k,39.15k,$17.50,642,2023-10-14,99.84%
"SUSTEAS Rotary Cheese Grater with Handle Mother's Day- Food Shredder with 5 Well-designed Blades & Strong Suction Base,Round Mandoline Slicer & Vegetable Grater Rotary for Kitchen,1 Bonus Blade Storage Box Utensils",$28.04,$623.34k,19.11k,$32.61,263,2023-08-05,99.62%
"Micro Ingredients Multi Collagen Peptides Powder - Hydrolyzed Protein Peptides (Type I,II,III,V,X) with Hyaluronic Acid, Biotin & Vitamin C - Unflavored",$29.70 - $33.95,$578.80k,18.19k,$31.83,557,2023-11-13,100.00%
EKKO BEATERS (Please size up),$13.49 - $38.99,$548.39k,14.06k,$38.99,119,2023-11-24,100.00%
"Men's Letter Print Drawstring Waist Back To School Shorts, Casual Streetwear Pocket Straight Leg Shorts, Men's Fitness Summer Bottoms for Gym Daily Wear, Summer Outfits 2024",$54.39 - $54.99,$546.50k,13.81k,$39.57,236,2024-04-19,100.00%
