rank,name,type,best_selling_products,revenue,avg_unit_price
1,wavytalk,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729388432827060376/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729403338518794392/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729439331550859416/cover.png']",$910.33k,$35.01
2,The Ordinary Store,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729389167562035209/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729407744514560009/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729389462454308873/cover.png']",$770.11k,$11.26
3,Anua Store US,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729472700694237665/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729472884592841185/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729443226456855009/cover.png']",$560.02k,$56.79
4,Gopure,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729397194585903513/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729397197029216665/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729403155366056345/cover.png']",$541.59k,$41.08
5,TYMO-BEAUTY,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729385521380102622/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729385637241786846/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729385521228124638/cover.png']",$518.63k,$42.62
6,Cocomint Beauty,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729436886547075856/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729385255308071696/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729385128754058000/cover.png']",$471.76k,$23.39
7,ONE SIZE BEAUTY,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729435368420905783/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729418750540354359/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729395493043213111/cover.png']",$459.08k,$23.26
8,GuruNanda LLC,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729388303591248135/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729388319103029511/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729440960151523591/cover.png']",$441.27k,$10.56
9,Tarte Cosmetics,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729535361478661052/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729397271480275900/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729421230765282236/cover.png']",$412.20k,$27.47
10,American Seair Imports,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729459702296973447/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729418501468557447/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729440473387077767/cover.png']",$411.64k,$32.63
