rank,name,type,best_selling_products,revenue,avg_unit_price
1,MyDepot,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729477193790165820/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729491748556608316/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729535419412222780/cover.png']",$2.20m,$64.05
2,Ekkovision,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729412251341459509/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729411809249300533/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729412447860592693/cover.png']",$2.03m,$28.13
3,Micro Ingredients,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729385034780414637/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729399282285187757/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729385055255892653/cover.png']",$1.46m,$28.33
4,Drink Nello,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729413027751104952/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729441724537672120/cover.png']",$1.40m,$38.63
5,CAKES body,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729418496836080191/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729458459743064639/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729397653417464383/cover.png']",$1.32m,$28.42
6,Ruimai Technology,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729478839153234936/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729463257846486008/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729468369840804856/cover.png']",$1.02m,$16.00
7,Tarte Cosmetics,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729443290523341756/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729415053505106876/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729533453435311036/cover.png']",$989.34k,$28.56
8,wavytalk,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729439331550859416/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729403338518794392/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729388432827060376/cover.png']",$976.33k,$34.80
9,vevor store,BRAND,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729471505655894190/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729403019399106734/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729478519432253614/cover.png']",$933.50k,$96.90
10,Top Music Electronics,RETAILER,"['https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729497131556442374/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729554517158629638/cover.png', 'https://d3uucz7wx6jq40.cloudfront.net/tiktok.product/1729559836233928966/cover.png']",$906.28k,$27.18
